"Variable","Skewness"
"bio_1",-0.373868397223543
"bio_2",-0.372098502066819
"bio_3",0.0461974424149922
"bio_4",-1.05487349094142
"bio_5",-0.465857193554451
"bio_6",-0.035534544329323
"bio_7",-0.848468453104947
"bio_8",0.120751226370583
"bio_9",-1.48187812487756
"bio_10",-0.393604593548305
"bio_11",-0.184706466162441
"bio_12",1.7218377526977
"bio_13",1.86158613892973
"bio_14",1.13012653876941
"bio_15",0.557104016053442
"bio_16",1.81448626167996
"bio_17",1.13895414072515
"bio_18",1.0067806326693
"bio_19",1.76216331563703
"elevation",0.551705750520744
"npp",6.36449237125565
